[2024-03-27T20:21:07.802+0000] {w3c.py:75} WARNING - calling Clean u_ex100528.log
[2024-03-27T20:21:07.802+0000] {w3c.py:75} WARNING - calling Clean u_ex100612.log
[2024-03-27T20:21:07.803+0000] {w3c.py:75} WARNING - calling Clean u_ex100615.log
[2024-03-27T20:21:07.803+0000] {w3c.py:75} WARNING - calling Clean u_ex100619.log
[2024-03-27T20:21:07.804+0000] {w3c.py:75} WARNING - calling Clean u_ex100622.log
[2024-03-27T20:21:07.805+0000] {w3c.py:75} WARNING - calling Clean u_ex100626.log
[2024-03-27T20:21:07.805+0000] {w3c.py:75} WARNING - calling Clean u_ex100628.log
[2024-03-27T20:21:07.806+0000] {w3c.py:75} WARNING - calling Clean u_ex100629.log
[2024-03-27T20:21:07.806+0000] {w3c.py:75} WARNING - calling Clean u_ex100630.log
[2024-03-27T20:21:07.807+0000] {w3c.py:75} WARNING - calling Clean u_ex100705.log
[2024-03-27T20:21:07.807+0000] {w3c.py:75} WARNING - calling Clean u_ex100708.log
[2024-03-27T20:21:07.808+0000] {w3c.py:75} WARNING - calling Clean u_ex100714.log
[2024-03-27T20:21:07.808+0000] {w3c.py:75} WARNING - calling Clean u_ex100718.log
[2024-03-27T20:21:07.809+0000] {w3c.py:75} WARNING - calling Clean u_ex100725.log
[2024-03-27T20:21:07.809+0000] {w3c.py:75} WARNING - calling Clean u_ex100801.log
[2024-03-27T20:21:07.810+0000] {w3c.py:75} WARNING - calling Clean u_ex100808.log
[2024-03-27T20:21:07.810+0000] {w3c.py:75} WARNING - calling Clean u_ex100809.log
[2024-03-27T20:21:07.811+0000] {w3c.py:75} WARNING - calling Clean u_ex100830.log
[2024-03-27T20:21:07.811+0000] {w3c.py:75} WARNING - calling Clean u_ex100906.log
[2024-03-27T20:21:07.811+0000] {w3c.py:75} WARNING - calling Clean u_ex100912.log
[2024-03-27T20:21:07.812+0000] {w3c.py:75} WARNING - calling Clean u_ex100916.log
[2024-03-27T20:21:07.813+0000] {w3c.py:75} WARNING - calling Clean u_ex100923.log
[2024-03-27T20:21:07.813+0000] {w3c.py:75} WARNING - calling Clean u_ex100924.log
[2024-03-27T20:21:07.814+0000] {w3c.py:75} WARNING - calling Clean u_ex100926.log
[2024-03-27T20:21:07.814+0000] {w3c.py:75} WARNING - calling Clean u_ex101008.log
[2024-03-27T20:21:07.815+0000] {w3c.py:75} WARNING - calling Clean u_ex101020.log
[2024-03-27T20:21:07.816+0000] {w3c.py:75} WARNING - calling Clean u_ex101023.log
[2024-03-27T20:21:07.816+0000] {w3c.py:75} WARNING - calling Clean u_ex101025.log
[2024-03-27T20:21:07.817+0000] {w3c.py:75} WARNING - calling Clean u_ex101027.log
[2024-03-27T20:21:07.817+0000] {w3c.py:75} WARNING - calling Clean u_ex101031.log
[2024-03-27T20:21:07.818+0000] {w3c.py:75} WARNING - calling Clean u_ex101101.log
[2024-03-27T20:21:07.818+0000] {w3c.py:75} WARNING - calling Clean u_ex101111.log
[2024-03-27T20:21:07.819+0000] {w3c.py:75} WARNING - calling Clean u_ex101113.log
[2024-03-27T20:21:07.819+0000] {w3c.py:75} WARNING - calling Clean u_ex101118.log
[2024-03-27T20:21:07.820+0000] {w3c.py:75} WARNING - calling Clean u_ex101126.log
[2024-03-27T20:21:07.820+0000] {w3c.py:75} WARNING - calling Clean u_ex101202.log
[2024-03-27T20:21:07.821+0000] {w3c.py:75} WARNING - calling Clean u_ex101212.log
[2024-03-27T20:21:07.821+0000] {w3c.py:75} WARNING - calling Clean u_ex101215.log
[2024-03-27T20:21:07.822+0000] {w3c.py:75} WARNING - calling Clean u_ex101223.log
[2024-03-27T20:21:07.822+0000] {w3c.py:75} WARNING - calling Clean u_ex101225.log
[2024-03-27T20:21:07.823+0000] {w3c.py:75} WARNING - calling Clean u_ex110119.log
[2024-03-27T20:21:07.823+0000] {w3c.py:75} WARNING - calling Clean u_ex110130.log
[2024-03-27T20:21:07.824+0000] {w3c.py:75} WARNING - calling Clean u_ex110205.log
[2024-03-27T20:21:07.824+0000] {w3c.py:75} WARNING - calling Clean u_ex110209.log
[2024-03-27T20:21:07.825+0000] {w3c.py:75} WARNING - calling Clean u_ex110212.log
[2024-03-27T20:21:07.825+0000] {w3c.py:75} WARNING - calling Clean u_ex110218.log
[2024-03-27T20:21:07.826+0000] {w3c.py:75} WARNING - calling Clean u_ex110306.log
[2024-03-27T20:21:07.826+0000] {w3c.py:75} WARNING - calling Clean u_ex110405.log
[2024-03-27T20:21:07.827+0000] {w3c.py:75} WARNING - calling Clean u_ex110407.log
[2024-03-27T20:21:07.827+0000] {w3c.py:75} WARNING - calling Clean u_ex110411.log
[2024-03-27T20:21:07.828+0000] {w3c.py:75} WARNING - calling Clean u_ex110424.log
[2024-03-27T20:21:07.828+0000] {w3c.py:75} WARNING - calling Clean u_ex110427.log
[2024-03-27T20:21:07.829+0000] {w3c.py:75} WARNING - calling Clean u_ex110504.log
[2024-03-27T20:21:07.829+0000] {w3c.py:75} WARNING - calling Clean u_ex110510.log
[2024-03-27T20:21:07.830+0000] {w3c.py:75} WARNING - calling Clean u_ex110516.log
[2024-03-27T20:21:07.831+0000] {python.py:202} INFO - Done. Returned value was: None
[2024-03-27T20:21:07.844+0000] {taskinstance.py:1149} INFO - Marking task as SUCCESS. dag_id=Process_W3_Data, task_id=remove_hash, execution_date=20240327T202102, start_date=20240327T202107, end_date=20240327T202107
[2024-03-27T20:21:07.887+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2024-03-27T20:21:07.911+0000] {taskinstance.py:3312} INFO - 0 downstream tasks scheduled from follow-on schedule check
